Date results: ,"{'precision': 0.2052980132450331, 'recall': 0.36046511627906974, 'f_score': 0.2616033755274262}"
Final precison Score : ,0.4379330420664059
Final recall Score : ,0.7653899044672474
Final f1 Score : ,0.5318625662906297
Date results: ,"{'precision': 0.4708333333333333, 'recall': 0.9576271186440678, 'f_score': 0.6312849162011174}"
Final precison Score : ,0.4708333333333333
Final recall Score : ,0.9576271186440678
Final f1 Score : ,0.6312849162011174
Date results: ,"{'precision': 0.9523809523809523, 'recall': 1.0, 'f_score': 0.975609756097561}"
Final precison Score : ,0.7116071428571429
Final recall Score : ,0.978813559322034
Final f1 Score : ,0.8034473361493392
Date results: ,"{'precision': 0.31788079470198677, 'recall': 0.7384615384615385, 'f_score': 0.4444444444444445}"
Final precison Score : ,0.5803650268054241
Final recall Score : ,0.8986962190352021
Final f1 Score : ,0.683779705581041
Date results: ,"{'precision': 0.21839080459770116, 'recall': 0.9047619047619048, 'f_score': 0.3518518518518519}"
Final precison Score : ,0.4898714712534934
Final recall Score : ,0.9002126404668778
Final f1 Score : ,0.6007977421487437
Date results: ,"{'precision': 0.5238095238095238, 'recall': 1.0, 'f_score': 0.6875000000000001}"
Final precison Score : ,0.4966590817646995
Final recall Score : ,0.9201701123735022
Final f1 Score : ,0.6181381937189949
Date results: ,"{'precision': 0.46124031007751937, 'recall': 0.7677419354838709, 'f_score': 0.5762711864406779}"
Final precison Score : ,0.49075595315016945
Final recall Score : ,0.8947654162252303
Final f1 Score : ,0.6111603591726088
Date results: ,"{'precision': 0.2375, 'recall': 0.9661016949152542, 'f_score': 0.3812709030100334}"
Final precison Score : ,0.4545765312715738
Final recall Score : ,0.904956313180948
Final f1 Score : ,0.5783190082922409
Date results: ,"{'precision': 0.34615384615384615, 'recall': 0.9473684210526315, 'f_score': 0.5070422535211268}"
Final precison Score : ,0.44102369563185784
Final recall Score : ,0.9102578266649085
Final f1 Score : ,0.5694094139458517
Date results: ,"{'precision': 0.18052256532066507, 'recall': 0.8837209302325582, 'f_score': 0.2998027613412229}"
Final precison Score : ,0.4120791255972809
Final recall Score : ,0.9073092826168695
Final f1 Score : ,0.539453119212004
Date results: ,"{'precision': 0.47280334728033474, 'recall': 0.9576271186440678, 'f_score': 0.6330532212885155}"
Final precison Score : ,0.47280334728033474
Final recall Score : ,0.9576271186440678
Final f1 Score : ,0.6330532212885155
Date results: ,"{'precision': 1.0, 'recall': 1.0, 'f_score': 1.0}"
Final precison Score : ,0.7364016736401674
Final recall Score : ,0.978813559322034
Final f1 Score : ,0.8165266106442577
Date results: ,"{'precision': 0.32, 'recall': 0.7384615384615385, 'f_score': 0.44651162790697674}"
Final precison Score : ,0.5976011157601115
Final recall Score : ,0.8986962190352021
Final f1 Score : ,0.6931882830651641
Date results: ,"{'precision': 0.22093023255813954, 'recall': 0.9047619047619048, 'f_score': 0.35514018691588783}"
Final precison Score : ,0.5034333949596186
Final recall Score : ,0.9002126404668778
Final f1 Score : ,0.6086762590278451
Date results: ,"{'precision': 0.55, 'recall': 1.0, 'f_score': 0.7096774193548387}"
Final precison Score : ,0.5127467159676948
Final recall Score : ,0.9201701123735022
Final f1 Score : ,0.6288764910932437
Date results: ,"{'precision': 0.46303501945525294, 'recall': 0.7677419354838709, 'f_score': 0.5776699029126214}"
Final precison Score : ,0.5044614332156212
Final recall Score : ,0.8947654162252303
Final f1 Score : ,0.6203420597298067
Date results: ,"{'precision': 0.2384937238493724, 'recall': 0.9661016949152542, 'f_score': 0.3825503355704698}"
Final precison Score : ,0.46646604616329995
Final recall Score : ,0.904956313180948
Final f1 Score : ,0.58637181342133
Date results: ,"{'precision': 0.34951456310679613, 'recall': 0.9473684210526315, 'f_score': 0.5106382978723405}"
Final precison Score : ,0.45184711078123696
Final recall Score : ,0.9102578266649085
Final f1 Score : ,0.5769051239777063
Date results: ,"{'precision': 0.18095238095238095, 'recall': 0.8837209302325582, 'f_score': 0.30039525691699603}"
Final precison Score : ,0.42174769635580855
Final recall Score : ,0.9073092826168695
Final f1 Score : ,0.5461818054154052
